,m,r,1,alpha,3,4
0,0.0,0.0,0.35050000000000003,0.5,0.3405,0.3235
1,0.0,1.0,0.34950000000000003,0.5,0.3305,0.34299999999999997
2,0.0,2.0,0.3315,0.5,0.3385,0.3305
3,0.0,3.0,0.3395,0.5,0.33399999999999996,0.32999999999999996
4,0.0,4.0,0.33499999999999996,0.5,0.3375,0.32499999999999996
5,0.0,5.0,0.3285,0.5,0.33799999999999997,0.32499999999999996
6,0.0,6.0,0.34650000000000003,0.5,0.31200000000000006,0.345
7,0.0,7.0,0.3395,0.5,0.33499999999999996,0.3275
8,0.0,8.0,0.3325,0.5,0.33099999999999996,0.3305
9,0.0,9.0,0.3295,0.5,0.3315,0.33299999999999996
10,1.0,0.0,0.34099999999999997,0.6,0.32699999999999996,0.398
11,1.0,1.0,0.33199999999999996,0.6,0.3345,0.403
12,1.0,2.0,0.3185,0.6,0.3435,0.4195
13,1.0,3.0,0.3385,0.6,0.31999999999999995,0.40449999999999997
14,1.0,4.0,0.3275,0.6,0.32899999999999996,0.41200000000000003
15,1.0,5.0,0.33499999999999996,0.6,0.33899999999999997,0.40149999999999997
16,1.0,6.0,0.3325,0.6,0.3305,0.39349999999999996
17,1.0,7.0,0.3265,0.6,0.32499999999999996,0.38649999999999995
18,1.0,8.0,0.3335,0.6,0.347,0.41400000000000003
19,1.0,9.0,0.33199999999999996,0.6,0.34199999999999997,0.40449999999999997
20,2.0,0.0,0.3425,0.9999999999999999,0.33399999999999996,0.3355
21,2.0,1.0,0.3395,0.9999999999999999,0.3405,0.3355
22,2.0,2.0,0.33399999999999996,0.9999999999999999,0.31699999999999995,0.3345
23,2.0,3.0,0.347,0.9999999999999999,0.3425,0.33099999999999996
24,2.0,4.0,0.33899999999999997,0.9999999999999999,0.3235,0.33199999999999996
25,2.0,5.0,0.347,0.9999999999999999,0.33899999999999997,0.34450000000000003
26,2.0,6.0,0.35450000000000004,0.9999999999999999,0.34950000000000003,0.3415
27,2.0,7.0,0.346,0.9999999999999999,0.33199999999999996,0.3325
28,2.0,8.0,0.3405,0.9999999999999999,0.349,0.3195
29,2.0,9.0,0.3395,0.9999999999999999,0.34750000000000003,0.34950000000000003
30,3.0,0.0,0.3405,0.7999999999999999,0.3435,0.40700000000000003
31,3.0,1.0,0.33699999999999997,0.7999999999999999,0.3375,0.38449999999999995
32,3.0,2.0,0.33199999999999996,0.7999999999999999,0.3315,0.376
33,3.0,3.0,0.34850000000000003,0.7999999999999999,0.3305,0.38949999999999996
34,3.0,4.0,0.348,0.7999999999999999,0.3305,0.396
35,3.0,5.0,0.33199999999999996,0.7999999999999999,0.33199999999999996,0.39649999999999996
36,3.0,6.0,0.3255,0.7999999999999999,0.349,0.399
37,3.0,7.0,0.32799999999999996,0.7999999999999999,0.33999999999999997,0.40349999999999997
38,3.0,8.0,0.33899999999999997,0.7999999999999999,0.3275,0.41500000000000004
39,3.0,9.0,0.3395,0.7999999999999999,0.34950000000000003,0.4105
40,4.0,0.0,0.356,0.6,0.3315,0.42600000000000005
41,4.0,1.0,0.365,0.6,0.3245,0.42100000000000004
42,4.0,2.0,0.37050000000000005,0.6,0.35150000000000003,0.4135
43,4.0,3.0,0.34950000000000003,0.6,0.3315,0.41200000000000003
44,4.0,4.0,0.359,0.6,0.34850000000000003,0.41000000000000003
45,4.0,5.0,0.36150000000000004,0.6,0.33899999999999997,0.406
46,4.0,6.0,0.348,0.6,0.34099999999999997,0.43700000000000006
47,4.0,7.0,0.349,0.6,0.34099999999999997,0.4175
48,4.0,8.0,0.356,0.6,0.35,0.42300000000000004
49,4.0,9.0,0.364,0.6,0.32499999999999996,0.4395
50,5.0,0.0,0.34750000000000003,0.5,0.34199999999999997,0.4465
51,5.0,1.0,0.34850000000000003,0.5,0.3285,0.43999999999999995
52,5.0,2.0,0.358,0.5,0.3285,0.42700000000000005
53,5.0,3.0,0.351,0.5,0.33399999999999996,0.4195
54,5.0,4.0,0.34850000000000003,0.5,0.3385,0.41900000000000004
55,5.0,5.0,0.357,0.5,0.32299999999999995,0.4335
56,5.0,6.0,0.3395,0.5,0.3385,0.43200000000000005
57,5.0,7.0,0.36,0.5,0.31499999999999995,0.42500000000000004
58,5.0,8.0,0.346,0.5,0.3215,0.42800000000000005
59,5.0,9.0,0.36050000000000004,0.5,0.3255,0.4305
60,10.0,0.0,0.35850000000000004,0.8999999999999999,0.3205,0.4415
61,10.0,1.0,0.34099999999999997,0.8999999999999999,0.349,0.43200000000000005
62,10.0,2.0,0.365,0.8999999999999999,0.32599999999999996,0.4365
63,10.0,3.0,0.35350000000000004,0.8999999999999999,0.3435,0.42700000000000005
64,10.0,4.0,0.36050000000000004,0.8999999999999999,0.33199999999999996,0.43600000000000005
65,10.0,5.0,0.35150000000000003,0.8999999999999999,0.33099999999999996,0.41600000000000004
66,10.0,6.0,0.35650000000000004,0.8999999999999999,0.345,0.43700000000000006
67,10.0,7.0,0.35550000000000004,0.8999999999999999,0.35250000000000004,0.44299999999999995
68,10.0,8.0,0.37749999999999995,0.8999999999999999,0.347,0.4275
69,10.0,9.0,0.369,0.8999999999999999,0.33699999999999997,0.42200000000000004
70,20.0,0.0,0.37350000000000005,0.7999999999999999,0.356,0.45499999999999996
71,20.0,1.0,0.37849999999999995,0.7999999999999999,0.372,0.46299999999999997
72,20.0,2.0,0.35650000000000004,0.7999999999999999,0.35550000000000004,0.4505
73,20.0,3.0,0.379,0.7999999999999999,0.364,0.4525
74,20.0,4.0,0.36850000000000005,0.7999999999999999,0.36450000000000005,0.475
75,20.0,5.0,0.366,0.7999999999999999,0.362,0.46299999999999997
76,20.0,6.0,0.37350000000000005,0.7999999999999999,0.364,0.47
77,20.0,7.0,0.375,0.7999999999999999,0.35150000000000003,0.46699999999999997
78,20.0,8.0,0.36850000000000005,0.7999999999999999,0.35750000000000004,0.43899999999999995
79,20.0,9.0,0.39,0.7999999999999999,0.363,0.46399999999999997
80,30.0,0.0,0.37949999999999995,0.5,0.3395,0.47650000000000003
81,30.0,1.0,0.361,0.5,0.3355,0.47650000000000003
82,30.0,2.0,0.37050000000000005,0.5,0.3355,0.47050000000000003
83,30.0,3.0,0.388,0.5,0.3315,0.4655
84,30.0,4.0,0.381,0.5,0.33599999999999997,0.45699999999999996
85,30.0,5.0,0.374,0.5,0.345,0.47450000000000003
86,30.0,6.0,0.37649999999999995,0.5,0.33899999999999997,0.45299999999999996
87,30.0,7.0,0.38949999999999996,0.5,0.33399999999999996,0.46950000000000003
88,30.0,8.0,0.38249999999999995,0.5,0.34650000000000003,0.47250000000000003
89,30.0,9.0,0.36950000000000005,0.5,0.3405,0.4565
90,40.0,0.0,0.365,0.6,0.3315,0.45799999999999996
91,40.0,1.0,0.37350000000000005,0.6,0.3365,0.47350000000000003
92,40.0,2.0,0.38449999999999995,0.6,0.3245,0.4685
93,40.0,3.0,0.367,0.6,0.33299999999999996,0.479
94,40.0,4.0,0.37649999999999995,0.6,0.354,0.4565
95,40.0,5.0,0.37749999999999995,0.6,0.33599999999999997,0.47850000000000004
96,40.0,6.0,0.37849999999999995,0.6,0.3285,0.47050000000000003
97,40.0,7.0,0.36350000000000005,0.6,0.33899999999999997,0.47650000000000003
98,40.0,8.0,0.372,0.6,0.33499999999999996,0.46199999999999997
99,40.0,9.0,0.35850000000000004,0.6,0.33199999999999996,0.474
