,m,r,0,0_alpha,10,10_alpha,45,45_alpha,90,90_alpha,135,135_alpha
0,0.0,0.0,0.32899999999999996,,0.31599999999999995,,0.33499999999999996,,0.33199999999999996,,0.3285,
1,0.0,1.0,0.34650000000000003,,0.32299999999999995,,0.32699999999999996,,0.32799999999999996,,0.32299999999999995,
2,0.0,2.0,0.3235,,0.3165,,0.33999999999999997,,0.3285,,0.3255,
3,0.0,3.0,0.3295,,0.3305,,0.3405,,0.3305,,0.3285,
4,0.0,4.0,0.31799999999999995,,0.3245,,0.3205,,0.3175,,0.32899999999999996,
5,0.0,5.0,0.3345,,0.32699999999999996,,0.33799999999999997,,0.3365,,0.3245,
6,0.0,6.0,0.3295,,0.33499999999999996,,0.32199999999999995,,0.3215,,0.3375,
7,0.0,7.0,0.3215,,0.32799999999999996,,0.3285,,0.32799999999999996,,0.33899999999999997,
8,0.0,8.0,0.33299999999999996,,0.33599999999999997,,0.33699999999999997,,0.32399999999999995,,0.3245,
9,0.0,9.0,0.3295,,0.32299999999999995,,0.3345,,0.32599999999999996,,0.33499999999999996,
10,3.0,0.0,0.264,,0.252,,0.271,,0.3105,,0.3115,
11,3.0,1.0,0.244,,0.256,,0.27349999999999997,,0.3125,,0.30800000000000005,
12,3.0,2.0,0.259,,0.261,,0.278,,0.3015,,0.3185,
13,3.0,3.0,0.24450000000000005,,0.24750000000000005,,0.28,,0.31499999999999995,,0.3245,
14,3.0,4.0,0.258,,0.26749999999999996,,0.2905,,0.3105,,0.3015,
15,3.0,5.0,0.256,,0.25649999999999995,,0.26449999999999996,,0.29300000000000004,,0.3105,
16,3.0,6.0,0.24850000000000005,,0.257,,0.264,,0.3035,,0.31100000000000005,
17,3.0,7.0,0.267,,0.25549999999999995,,0.277,,0.3055,,0.31999999999999995,
18,3.0,8.0,0.252,,0.252,,0.26249999999999996,,0.3175,,0.30400000000000005,
19,3.0,9.0,0.25649999999999995,,0.258,,0.269,,0.3175,,0.31200000000000006,
20,5.0,0.0,0.23250000000000004,,0.24050000000000005,,0.267,,0.2865,,0.3105,
21,5.0,1.0,0.23150000000000004,,0.252,,0.277,,0.30300000000000005,,0.2995,
22,5.0,2.0,0.22399999999999998,,0.244,,0.275,,0.2895,,0.3125,
23,5.0,3.0,0.239,,0.243,,0.2845,,0.2835,,0.28800000000000003,
24,5.0,4.0,0.22699999999999998,,0.23850000000000005,,0.28,,0.2885,,0.3045,
25,5.0,5.0,0.22250000000000003,,0.25349999999999995,,0.28800000000000003,,0.2875,,0.3055,
26,5.0,6.0,0.22799999999999998,,0.25049999999999994,,0.27649999999999997,,0.29800000000000004,,0.28800000000000003,
27,5.0,7.0,0.23450000000000004,,0.23750000000000004,,0.276,,0.2845,,0.3125,
28,5.0,8.0,0.22999999999999998,,0.24350000000000005,,0.273,,0.2935,,0.30000000000000004,
29,5.0,9.0,0.22850000000000004,,0.24350000000000005,,0.271,,0.2905,,0.2995,
30,10.0,0.0,0.21399999999999997,,0.236,,0.27949999999999997,,0.30200000000000005,,0.31899999999999995,
31,10.0,1.0,0.21999999999999997,,0.235,,0.256,,0.3005,,0.31699999999999995,
32,10.0,2.0,0.21999999999999997,,0.23450000000000004,,0.2845,,0.2995,,0.3235,
33,10.0,3.0,0.22399999999999998,,0.236,,0.275,,0.29400000000000004,,0.30900000000000005,
34,10.0,4.0,0.22450000000000003,,0.236,,0.276,,0.30300000000000005,,0.31899999999999995,
35,10.0,5.0,0.22150000000000003,,0.22850000000000004,,0.276,,0.3055,,0.30600000000000005,
36,10.0,6.0,0.22050000000000003,,0.237,,0.277,,0.2905,,0.3165,
37,10.0,7.0,0.21150000000000002,,0.23450000000000004,,0.2835,,0.29600000000000004,,0.3175,
38,10.0,8.0,0.22550000000000003,,0.23250000000000004,,0.271,,0.2885,,0.3305,
39,10.0,9.0,0.22450000000000003,,0.22750000000000004,,0.27,,0.2935,,0.3155,
40,20.0,0.0,0.20799999999999996,,0.21699999999999997,,0.252,,0.2975,,0.3115,
41,20.0,1.0,0.20599999999999996,,0.21950000000000003,,0.258,,0.2945,,0.3185,
42,20.0,2.0,0.19699999999999995,,0.20699999999999996,,0.26149999999999995,,0.28800000000000003,,0.32599999999999996,
43,20.0,3.0,0.2005,,0.2025,,0.25,,0.3015,,0.345,
44,20.0,4.0,0.20499999999999996,,0.20799999999999996,,0.247,,0.29700000000000004,,0.3195,
45,20.0,5.0,0.20599999999999996,,0.20899999999999996,,0.269,,0.30500000000000005,,0.31000000000000005,
46,20.0,6.0,0.19699999999999995,,0.20999999999999996,,0.26849999999999996,,0.29500000000000004,,0.3315,
47,20.0,7.0,0.20999999999999996,,0.20550000000000002,,0.251,,0.2935,,0.32899999999999996,
48,20.0,8.0,0.20299999999999996,,0.20899999999999996,,0.25249999999999995,,0.3095,,0.3245,
49,20.0,9.0,0.20299999999999996,,0.21150000000000002,,0.25449999999999995,,0.30100000000000005,,0.33599999999999997,
50,30.0,0.0,0.18400000000000005,,0.19399999999999995,,0.24850000000000005,,0.30600000000000005,,0.3065,
51,30.0,1.0,0.18000000000000005,,0.1955,,0.257,,0.3135,,0.3225,
52,30.0,2.0,0.1895,,0.19799999999999995,,0.25349999999999995,,0.3075,,0.3075,
53,30.0,3.0,0.1935,,0.1975,,0.26149999999999995,,0.29000000000000004,,0.3315,
54,30.0,4.0,0.19099999999999995,,0.1865,,0.25749999999999995,,0.2975,,0.31899999999999995,
55,30.0,5.0,0.1845,,0.1955,,0.243,,0.30900000000000005,,0.3285,
56,30.0,6.0,0.1945,,0.19099999999999995,,0.26,,0.2935,,0.33099999999999996,
57,30.0,7.0,0.1905,,0.1955,,0.274,,0.3125,,0.30700000000000005,
58,30.0,8.0,0.1885,,0.20550000000000002,,0.25,,0.2905,,0.32399999999999995,
59,30.0,9.0,0.1865,,0.19599999999999995,,0.25449999999999995,,0.30200000000000005,,0.32899999999999996,
60,40.0,0.0,0.18100000000000005,,0.1925,,0.27949999999999997,,0.30500000000000005,,0.33799999999999997,
61,40.0,1.0,0.1755,,0.1975,,0.27049999999999996,,0.2915,,0.32999999999999996,
62,40.0,2.0,0.17900000000000005,,0.1875,,0.26149999999999995,,0.30100000000000005,,0.32799999999999996,
63,40.0,3.0,0.17900000000000005,,0.18600000000000005,,0.26149999999999995,,0.31699999999999995,,0.33699999999999997,
64,40.0,4.0,0.18100000000000005,,0.1815,,0.26349999999999996,,0.30500000000000005,,0.32499999999999996,
65,40.0,5.0,0.18300000000000005,,0.1855,,0.26549999999999996,,0.29800000000000004,,0.34550000000000003,
66,40.0,6.0,0.1875,,0.1845,,0.26049999999999995,,0.30300000000000005,,0.3295,
67,40.0,7.0,0.17700000000000005,,0.19099999999999995,,0.26849999999999996,,0.3185,,0.347,
68,40.0,8.0,0.17300000000000004,,0.1945,,0.259,,0.33699999999999997,,0.32499999999999996,
69,40.0,9.0,0.17500000000000004,,0.19099999999999995,,0.256,,0.30400000000000005,,0.3375,
70,50.0,0.0,0.16349999999999998,,0.1745,,0.25349999999999995,,0.29400000000000004,,0.32199999999999995,
71,50.0,1.0,0.16600000000000004,,0.1805,,0.249,,0.30000000000000004,,0.33299999999999996,
72,50.0,2.0,0.16100000000000003,,0.16900000000000004,,0.25049999999999994,,0.30500000000000005,,0.355,
73,50.0,3.0,0.16949999999999998,,0.18400000000000005,,0.257,,0.29200000000000004,,0.32499999999999996,
74,50.0,4.0,0.16000000000000003,,0.17600000000000005,,0.25749999999999995,,0.2955,,0.33999999999999997,
75,50.0,5.0,0.16300000000000003,,0.1745,,0.25949999999999995,,0.30500000000000005,,0.33599999999999997,
76,50.0,6.0,0.16300000000000003,,0.1855,,0.26449999999999996,,0.2955,,0.33299999999999996,
77,50.0,7.0,0.17100000000000004,,0.16100000000000003,,0.263,,0.30100000000000005,,0.347,
78,50.0,8.0,0.1735,,0.16549999999999998,,0.25,,0.29600000000000004,,0.33799999999999997,
79,50.0,9.0,0.16700000000000004,,0.18000000000000005,,0.23650000000000004,,0.30100000000000005,,0.33599999999999997,
